date,monthly_sales
2017-09-01,122407.56
2017-10-01,162687.57
2017-12-01,245673.80
2018-01-01,127574.74
2018-02-01,144799.52
2018-04-01,130643.90
2018-05-01,139165.10
2018-06-01,125735.38
2018-08-01,125409.88
2018-09-01,343337.17
2018-10-01,440562.08
2018-12-01,653944.75
2019-01-01,359025.02
2019-02-01,356607.17
2019-04-01,379549.69
2019-05-01,340152.23
2019-06-01,343792.04
2019-08-01,338108.88
2019-09-01,808250.44
2019-10-01,1092622.20
2019-12-01,1488174.02
2020-01-01,812929.75
2020-02-01,862762.77
2020-04-01,130520.92
2020-05-01,145049.05
2020-06-01,362545.14
2020-08-01,799327.63
2020-09-01,2296919.63
2020-10-01,3109316.88
2020-12-01,4078789.92
2021-01-01,2303086.37
2021-02-01,2355170.45
2021-04-01,2253574.91
2021-05-01,2181587.78
2021-06-01,2288587.45
2021-08-01,2349478.82
2021-09-01,11192823.08
2021-10-01,13908229.29
2021-12-01,19537146.56
